layer,bar,Det_id_0,Det_id_1,bx_shift,mean_shift
14,0,411569920,411045632,980,8.77321603128054
14,1,411569921,411045633,980,7.697947214076251
14,2,411569922,411045634,980,-8.99315738025416
14,3,411569923,411045635,980,18.328445747800586
14,4,411569924,411045636,980,6.304985337243394
14,5,411569925,411045637,980,-4.8631476050830855
14,6,411569926,411045638,980,-13.123167155425229
14,7,411569927,411045639,980,-16.61779081133919
14,8,411569928,411045640,980,0.5131964809384044
14,9,411569929,411045641,980,-15.420332355816228
14,10,411569930,411045642,980,0.07331378299120672
14,11,411569931,411045643,980,17.008797653958943
15,0,411570176,411045888,720,-6.720430107526894
15,1,411570177,411045889,720,2.5171065493646125
15,2,411570178,411045890,720,3.7634408602150557
15,3,411570179,411045891,720,-0.21994134897360595
15,4,411570180,411045892,720,21.45650048875855
15,5,411570181,411045893,720,9.261974584555233
15,6,411570182,411045894,720,6.5249266862170145
15,7,411570183,411045895,720,-7.600195503421318
15,8,411570184,411045896,720,23.216031280547412
15,9,411570185,411045897,720,6.573802541544481
15,10,411570186,411045898,720,-3.5190615835777095
15,11,411570187,411045899,720,-10.337243401759537
16,0,411570432,411046144,720,-10.53274682306941
16,1,411570433,411046145,720,1.6129032258064555
16,2,411570434,411046146,720,2.468230694037146
16,3,411570435,411046147,720,0.9164222873900272
16,4,411570436,411046148,720,-21.676441837732156
16,5,411570437,411046149,720,2.321603128054747
16,6,411570438,411046150,720,2.5904203323558193
16,7,411570439,411046151,720,16.00684261974584
16,8,411570440,411046152,720,-9.50635386119258
16,9,411570441,411046153,720,-17.729716520039098
16,10,411570442,411046154,720,-1.783968719452588
16,11,411570443,411046155,720,4.288856304985337
17,0,411570688,411046400,720,3.34799608993157
17,1,411570689,411046401,720,2.223851417399807
17,2,411570690,411046402,720,0.14662756598239923
17,3,411570691,411046403,720,-10.679374389051802
17,4,411570692,411046404,720,7.966764418377323
17,5,411570693,411046405,720,2.688172043010752
17,6,411570694,411046406,720,7.453567937438905
17,7,411570695,411046407,720,-3.5068426197458393
17,8,411570696,411046408,720,26.075268817204304
17,9,411570697,411046409,720,33.82209188660802
17,10,411570698,411046410,720,4.374389051808407
17,11,411570699,411046411,720,-4.032258064516128
18,0,411570944,411046656,720,21.505376344086017
18,1,411570945,411046657,720,-26.53958944281524
18,2,411570946,411046658,720,0
18,3,411570947,411046659,720,6.89149560117302
18,4,411570948,411046660,720,1.3685239491691021
18,5,411570949,411046661,720,11.168132942326494
18,6,411570950,411046662,720,2.2238514173998
18,7,411570951,411046663,720,1.9550342130987275
18,8,411570952,411046664,720,-5.8651026392961825
18,9,411570953,411046665,720,-2.1505376344086073
18,10,411570954,411046666,720,-3.3968719452590506
18,11,411570955,411046667,720,11.119257086999028
