layer,bar,Det_id_0,Det_id_1,bx_shift,mean_shift
0,0,411566336,411042048,470,-2.23607038123167
0,1,411566337,411042049,470,-13.489736070381234
0,2,411566338,411042050,470,-10.923753665689148
0,3,411566339,411042051,470,3.54349951124145
0,4,411566340,411042052,470,-9.066471163245357
0,5,411566341,411042053,470,5.107526881720432
0,6,411566342,411042054,470,-15.237047898338218
0,7,411566343,411042055,470,10.728250244379279
1,0,411566592,411042304,470,-16.715542521994138
1,1,411566593,411042305,470,10.190615835777123
1,2,411566594,411042306,470,-9.970674486803517
1,3,411566595,411042307,470,10.092864125122183
1,4,411566596,411042308,470,-0.21994134897361306
1,5,411566597,411042309,470,27.981427174975565
1,6,411566598,411042310,470,16.81329423264907
1,7,411566599,411042311,470,4.997556207233625
2,0,411566848,411042560,470,-2.688172043010752
2,1,411566849,411042561,470,-20.136852394916914
2,2,411566850,411042562,470,-13.563049853372434
2,3,411566851,411042563,470,2.028347996089934
2,4,411566852,411042564,470,-15.029325513196476
2,5,411566853,411042565,470,29.130009775171068
2,6,411566854,411042566,470,-4.056695992179861
2,7,411566855,411042567,470,-8.16226783968719
3,0,411567104,411042816,470,32.84457478005866
3,1,411567105,411042817,470,11.070381231671554
3,2,411567106,411042818,470,23.655913978494617
3,3,411567107,411042819,470,8.577712609970675
3,4,411567108,411042820,470,16.788856304985337
3,5,411567109,411042821,470,-9.506353861192572
3,6,411567110,411042822,470,7.2091886608015585
3,7,411567111,411042823,470,-1.9305962854349943
4,0,411567360,411043072,975,10.288367546432063
4,1,411567361,411043073,975,0.0
4,2,411567362,411043074,975,-6.060606060606055
4,3,411567363,411043075,975,-2.321603128054747
4,4,411567364,411043076,975,-2.468230694037146
4,5,411567365,411043077,975,11.656891495601172
4,6,411567366,411043078,975,16.581133919843595
4,7,411567367,411043079,975,-16.935483870967744
5,0,411567616,411043328,975,0.7575757575757578
5,1,411567617,411043329,975,8.993157380254154
5,2,411567618,411043330,975,-13.098729227761481
5,3,411567619,411043331,975,8.675464320625608
5,4,411567620,411043332,975,-0.4643206256109522
5,5,411567621,411043333,975,1.7839687194525897
5,6,411567622,411043334,975,3.4824046920821132
5,7,411567623,411043335,975,14.112903225806448
6,0,411567872,411043584,975,-17.17986314760509
6,1,411567873,411043585,975,1.7106549364613954
6,2,411567874,411043586,975,16.61779081133919
6,3,411567875,411043587,975,5.425219941348978
6,4,411567876,411043588,975,-3.4213098729227767
6,5,411567877,411043589,975,4.47214076246334
6,6,411567878,411043590,975,30.645161290322577
6,7,411567879,411043591,975,-15.640273704789834
7,0,411568128,411043840,975,-17.974095796676444
7,1,411568129,411043841,975,-4.43548387096774
7,2,411568130,411043842,975,-23.70478983382209
7,3,411568131,411043843,975,-9.384164222873892
7,4,411568132,411043844,975,-14.63831867057673
7,5,411568133,411043845,975,-21.260997067448685
7,6,411568134,411043846,975,-1.4418377321603089
7,7,411568135,411043847,975,6.329423264907135
8,0,411568384,411044096,716,20.307917888563054
8,1,411568385,411044097,716,1.9550342130987275
8,2,411568386,411044098,716,-9.921798631476051
8,3,411568387,411044099,716,-10.630498533724342
8,4,411568388,411044100,716,-19.30596285434995
8,5,411568389,411044101,716,12.023460410557185
8,6,411568390,411044102,716,-2.6637341153470118
8,7,411568391,411044103,716,-4.545454545454547
9,0,411568640,411044352,716,-25.61094819159335
9,1,411568641,411044353,716,-5.840664711632453
9,2,411568642,411044354,716,-25.23216031280547
9,3,411568643,411044355,716,2.223851417399807
9,4,411568644,411044356,716,-3.2991202346041035
9,5,411568645,411044357,716,-11.11925708699902
9,6,411568646,411044358,716,-3.7145650048875822
9,7,411568647,411044359,716,-23.888074291300097
9,8,411568648,411044360,975,-23.44819159335288
9,9,411568649,411044361,975,-5.59628543499511
9,10,411568650,411044362,975,-9.017595307917887
9,11,411568651,411044363,975,0.7575757575757542
10,0,411568896,411044608,980,28.653470185728253
10,1,411568897,411044609,980,-20.405669599217987
10,2,411568898,411044610,980,-23.16715542521994
10,3,411568899,411044611,980,-0.7086999022482843
10,4,411568900,411044612,980,-0.5131964809384186
10,5,411568901,411044613,980,-20.967741935483865
10,6,411568902,411044614,980,-26.001955034213104
10,7,411568903,411044615,980,-4.276637341153474
10,8,411568904,411044616,980,-0.9530791788856376
10,9,411568905,411044617,980,6.451612903225808
10,10,411568906,411044618,980,-29.802052785923756
10,11,411568907,411044619,980,16.37341153470186
11,0,411569152,411044864,475,-3.470185728250243
11,1,411569153,411044865,475,-2.4437927663734094
11,2,411569154,411044866,475,0.14662756598240634
11,3,411569155,411044867,475,-0.8308895405669574
11,4,411569156,411044868,475,2.908113391984358
11,5,411569157,411044869,475,2.1994134897360738
11,6,411569158,411044870,475,-2.1994134897360738
11,7,411569159,411044871,475,-5.57184750733137
11,8,411569160,411044872,475,-1.564027370478982
11,9,411569161,411044873,475,-6.476050830889534
11,10,411569162,411044874,475,-4.227761485826008
11,11,411569163,411044875,475,4.08113391984358
12,0,411569408,411045120,475,-3.6412512218963826
12,1,411569409,411045121,475,3.690127077223849
12,2,411569410,411045122,475,0.9042033235581641
12,3,411569411,411045123,475,-1.9305962854350014
12,4,411569412,411045124,475,-0.26881720430107947
12,5,411569413,411045125,475,-1.4173998044965757
12,6,411569414,411045126,475,-6.769305962854347
12,7,411569415,411045127,475,-1.9305962854349943
12,8,411569416,411045128,475,4.374389051808404
12,9,411569417,411045129,475,-3.347996089931577
12,10,411569418,411045130,475,-4.66764418377322
12,11,411569419,411045131,475,-10.092864125122183
13,0,411569664,411045376,475,-5.376344086021501
13,1,411569665,411045377,475,-4.325513196480941
13,2,411569666,411045378,475,3.4946236559139763
13,3,411569667,411045379,475,-4.64320625610948
13,4,411569668,411045380,475,-0.26881720430107237
13,5,411569669,411045381,475,0.14662756598240634
13,6,411569670,411045382,475,-2.688172043010752
13,7,411569671,411045383,475,-3.3968719452590506
13,8,411569672,411045384,980,7.2091886608015585
13,9,411569673,411045385,980,17.974095796676444
13,10,411569674,411045386,980,4.49657869012708
13,11,411569675,411045387,980,28.22580645161291
