# Source file pedestal_DPM0_20220426_092432.raw
# Produced 2022-05-03 02:05:18 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800100,   94.362,    1.671
0x18800101,   94.199,    1.374
0x18800102,   91.292,    1.519
0x18800103,   91.118,    1.560
0x18800104,  103.481,    1.436
0x18800105,   98.791,    1.726
0x18800106,  102.110,    1.804
0x18800107,   93.925,    1.450
0x18800200,   94.909,    1.681
0x18800201,   95.528,    1.709
0x18800202,   95.706,    1.752
0x18800203,  106.305,    2.068
0x18800204,   93.025,    1.641
0x18800205,   94.937,    1.429
0x18800206,  106.180,    1.866
0x18800207,  106.059,    2.247
0x18800300,   90.197,    2.870
0x18800301,   90.654,    2.887
0x18800302,   97.343,    3.032
0x18800303,  101.670,    2.712
0x18800304,   91.834,    3.448
0x18800305,  105.463,    3.049
0x18800306,   98.528,    3.061
0x18800307,   99.364,    3.062
0x18800400,  105.220,    3.316
0x18800401,  102.668,    3.262
0x18800402,  106.235,    3.363
0x18800403,   99.905,    2.935
0x18800404,  100.991,    3.058
0x18800405,   95.569,    3.158
0x18800406,   95.642,    3.033
0x18800407,  102.888,    3.022
0x18800500,  102.610,    2.051
0x18800501,   86.787,    1.950
0x18800502,   92.702,    2.004
0x18800503,   93.793,    1.760
0x18800504,  104.493,    1.925
0x18800505,  103.819,    1.876
0x18800506,  101.920,    2.042
0x18800507,   89.757,    1.757
0x18800600,  106.850,    2.102
0x18800601,   90.971,    1.953
0x18800602,  101.179,    1.826
0x18800603,   95.439,    1.763
0x18800604,   95.506,    1.601
0x18800605,  101.668,    2.034
0x18800606,  100.965,    1.950
0x18800607,   92.331,    1.878
0x18800700,   97.755,    1.675
0x18800701,   92.737,    1.373
0x18800702,   91.263,    1.569
0x18800703,   99.976,    1.594
0x18800704,  100.998,    1.466
0x18800705,  102.287,    1.479
0x18800706,  164.408,    3.679
0x18800707,   91.148,    1.530
0x18800800,  101.741,    1.604
0x18800801,   98.155,    1.823
0x18800802,   93.752,    1.456
0x18800803,   94.460,    1.176
0x18800804,   92.396,    1.462
0x18800805,   94.720,    1.106
0x18800806,  102.852,    1.521
0x18800807,  101.782,    1.568
0x18800900,   92.821,    2.577
0x18800901,   94.031,    2.426
0x18800902,   99.907,    3.183
0x18800903,   94.721,    2.635
0x18800904,  100.329,    3.044
0x18800905,  107.240,    1.996
0x18800906,  100.387,    2.879
0x18800907,  102.852,    2.565
0x18800a00,   92.757,    3.145
0x18800a01,   89.902,    3.011
0x18800a02,   98.119,    2.555
0x18800a03,  104.047,    2.967
0x18800a04,  103.040,    3.193
0x18800a05,   96.995,    2.884
0x18800a06,   92.924,    2.746
0x18800a07,   88.744,    3.300
0x18800a08,   94.607,    1.839
0x18800a09,   93.728,    1.949
0x18800a0a,   92.314,    1.902
0x18800a0b,   95.342,    1.643
0x18800b00,  105.115,    2.042
0x18800b01,   94.060,    1.873
0x18800b02,  100.586,    1.724
0x18800b03,  104.278,    1.636
0x18800b04,   91.745,    2.036
0x18800b05,   91.166,    2.089
0x18800b06,   93.868,    2.061
0x18800b07,  106.294,    1.868
0x18800b08,   96.707,    2.109
0x18800b09,  101.286,    1.768
0x18800b0a,  103.552,    1.680
0x18800b0b,  106.599,    1.809
0x18880100,  103.933,    1.742
0x18880101,   94.985,    1.764
0x18880102,  102.865,    1.599
0x18880103,  101.783,    1.758
0x18880104,   94.800,    1.078
0x18880105,   92.362,    1.660
0x18880106,  104.472,    1.849
0x18880107,  105.195,    1.919
0x18880200,   94.908,    1.798
0x18880201,  101.731,    1.774
0x18880202,  104.347,    2.043
0x18880203,  106.841,    1.974
0x18880204,   94.757,    1.282
0x18880205,   93.967,    1.478
0x18880206,  101.439,    1.594
0x18880207,  103.055,    1.717
0x18880300,   95.771,    2.853
0x18880301,   91.201,    2.822
0x18880302,  107.387,    2.920
0x18880303,   94.391,    2.868
0x18880304,   98.530,    3.249
0x18880305,  104.136,    3.215
0x18880306,  105.509,    3.487
0x18880307,   95.626,    3.502
0x18880400,   95.102,    2.950
0x18880401,  101.199,    2.988
0x18880402,  100.758,    2.968
0x18880403,   97.755,    3.054
0x18880404,   94.179,    2.982
0x18880405,   92.937,    3.042
0x18880406,   96.622,    3.003
0x18880407,   93.114,    2.942
0x18880500,   97.046,    2.136
0x18880501,  106.393,    2.340
0x18880502,   99.414,    2.585
0x18880503,   99.309,    2.643
0x18880504,   91.973,    1.757
0x18880505,   91.613,    2.007
0x18880506,   94.413,    1.554
0x18880507,   88.220,    1.885
0x18880600,   98.973,    2.157
0x18880601,   95.449,    1.662
0x18880602,  100.621,    2.108
0x18880603,   92.859,    1.937
0x18880604,  105.193,    2.060
