# Source file pedestal_DPM0_20220423_071447.raw
# Produced 2022-05-03 01:44:18 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18880b0b,   98.437,    2.671
# Source file pedestal_DPM1_20220423_071702.raw
# Produced 2022-05-03 01:44:29 GMT
0x18800c00,   95.293,    1.986
0x18800c01,   99.859,    2.288
0x18800c02,  101.582,    2.148
0x18800c03,  108.374,    2.145
0x18800c04,   97.195,    2.432
0x18800c05,  101.574,    2.231
0x18800c06,   94.595,    1.723
0x18800c07,   94.503,    1.421
0x18800c08,  109.451,    1.931
0x18800c09,   91.946,    2.128
0x18800c0a,  106.236,    2.065
0x18800c0b,   93.993,    1.874
0x18800d00,   93.081,    1.932
0x18800d01,   98.455,    2.477
0x18800d02,  100.156,    2.384
0x18800d03,  109.800,    2.073
0x18800d04,   98.379,    2.899
0x18800d05,  104.665,    2.608
0x18800d06,   97.442,    2.733
0x18800d07,  105.118,    2.385
0x18800d08,  101.380,    2.915
0x18800d09,   97.363,    2.747
0x18800d0a,   90.372,    2.083
0x18800d0b,   93.626,    2.106
0x18800e00,   95.050,    2.782
0x18800e01,   98.949,    3.111
0x18800e02,   95.748,    2.908
0x18800e03,   99.056,    2.662
0x18800e04,  105.337,    2.891
0x18800e05,   91.798,    2.534
0x18800e06,   95.192,    2.711
0x18800e07,  102.385,    2.873
0x18800e08,  100.525,    3.656
0x18800e09,   93.330,    3.482
0x18800e0a,  104.184,    4.069
0x18800e0b,  106.840,    4.501
0x18800f00,   93.976,    3.678
0x18800f01,  103.217,    3.938
0x18800f02,   94.288,    4.073
0x18800f03,   90.595,    3.378
0x18800f04,  106.095,    4.206
0x18800f05,   96.532,    3.742
0x18800f06,   93.521,    3.526
0x18800f07,   93.449,    3.762
0x18800f08,   94.922,    3.377
0x18800f09,   90.676,    2.986
0x18800f0a,   94.134,    3.591
0x18800f0b,  105.479,    3.938
0x18801000,   93.507,   19.280
0x18801001,   93.401,   19.417
0x18801002,   97.527,   17.922
0x18801003,   92.730,   17.576
0x18801004,   92.320,   18.285
0x18801005,   92.989,   18.360
0x18801006,   92.187,   19.706
