# Source file raw/calib/pedestal_DPM0_20220422_073937.raw
# Produced 2022-06-13 18:26:58 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800100,   94.960,    2.485
0x18800101,   94.790,    2.156
0x18800102,   92.392,    2.301
0x18800103,   91.809,    2.237
0x18800104,  103.819,    2.882
0x18800105,   99.669,    2.737
0x18800106,  102.663,    2.864
0x18800107,  106.988,    3.219
0x18800200,   95.303,    2.824
0x18800201,   97.212,    3.239
0x18800202,   95.870,    3.222
0x18800203,  106.556,    3.442
0x18800204,   93.991,    2.737
0x18800205,   95.572,    2.706
0x18800206,  107.223,    3.201
0x18800207,  106.793,    3.121
0x18800300,   91.257,    4.363
0x18800301,   91.093,    4.378
0x18800302,   97.470,    4.199
0x18800303,  101.569,    4.247
0x18800304,   92.294,    5.199
0x18800305,  105.086,    5.043
0x18800306,   98.697,    4.826
0x18800307,   99.160,    4.779
0x18800400,  106.035,    5.334
0x18800401,  102.317,    4.873
0x18800402,  106.483,    5.161
0x18800403,  100.200,    4.817
0x18800404,  100.580,    4.697
0x18800405,   95.754,    4.878
0x18800406,   96.038,    4.619
0x18800407,  103.223,    4.520
0x18800500,  104.158,    2.382
0x18800501,   88.399,    2.307
0x18800502,   94.016,    1.938
0x18800503,   94.917,    2.052
0x18800504,  105.837,    2.363
0x18800505,  104.410,    2.260
0x18800506,  103.328,    2.227
0x18800507,   91.050,    2.056
0x18800600,  108.026,    2.601
0x18800601,   91.928,    2.481
0x18800602,  102.305,    2.207
0x18800603,   96.440,    2.725
0x18800604,   96.611,    2.430
0x18800605,  103.101,    2.452
0x18800606,  102.838,    2.311
0x18800607,   94.039,    2.175
0x18800700,   98.480,    1.800
0x18800701,   93.551,    1.387
0x18800702,   91.829,    1.621
0x18800703,  100.473,    1.669
0x18800704,  101.215,    1.723
0x18800705,  102.805,    1.816
0x18800706,  164.630,    5.792
0x18800707,   91.470,    1.842
0x18800800,  102.324,    1.837
0x18800801,   98.952,    2.014
0x18800802,   94.562,    1.630
0x18800803,   95.722,    1.961
0x18800804,   93.321,    2.003
0x18800805,   95.138,    1.747
0x18800806,  103.164,    2.050
0x18800807,  102.572,    1.868
0x18800900,   93.982,    2.645
0x18800901,   95.294,    2.990
0x18800902,  101.261,    3.489
0x18800903,   95.636,    2.875
0x18800904,  101.140,    3.361
0x18800905,  108.534,    2.481
0x18800906,  101.300,    3.159
0x18800907,  103.856,    2.928
0x18800a00,   94.035,    3.659
0x18800a01,   90.921,    3.590
0x18800a02,   98.853,    3.304
0x18800a03,  105.191,    3.370
0x18800a04,  104.144,    3.465
0x18800a05,   98.266,    3.430
0x18800a06,   93.607,    3.167
0x18800a07,   90.476,    3.639
0x18800a08,   95.798,    2.482
0x18800a09,   94.296,    2.574
0x18800a0a,   93.298,    2.797
0x18800a0b,   96.533,    2.449
0x18800b00,  106.254,    2.247
0x18800b01,   95.117,    2.754
0x18800b02,  101.653,    2.048
0x18800b03,  105.188,    2.018
0x18800b04,   92.986,    3.090
0x18800b05,   92.514,    3.104
0x18800b06,   94.467,    2.939
0x18800b07,  107.554,    2.263
0x18800b08,   97.752,    2.375
0x18800b09,  102.938,    2.223
0x18800b0a,  104.735,    2.271
0x18800b0b,  107.644,    2.412
0x18880100,  104.561,    2.515
0x18880101,   96.030,    2.569
0x18880102,  103.775,    2.354
0x18880103,  102.517,    2.434
0x18880104,   95.353,    3.013
0x18880105,   93.070,    2.874
0x18880106,  105.732,    2.988
0x18880107,  105.846,    2.848
0x18880200,   95.347,    2.747
0x18880201,  102.123,    2.820
0x18880202,  104.498,    3.232
0x18880203,  107.272,    3.381
0x18880204,   94.924,    2.484
0x18880205,   94.870,    2.202
0x18880206,  101.975,    2.443
0x18880207,  104.288,    2.781
0x18880300,   96.116,    4.737
0x18880301,   91.841,    4.667
0x18880302,  107.733,    4.830
0x18880303,   94.708,    4.539
0x18880304,   98.335,    5.146
0x18880305,  104.175,    5.002
0x18880306,  105.933,    5.357
0x18880307,   95.206,    4.995
0x18880400,   95.075,    4.889
0x18880401,  101.189,    4.831
0x18880402,  100.745,    4.722
0x18880403,   97.504,    4.647
0x18880404,   94.270,    4.651
0x18880405,   93.302,    4.692
0x18880406,   96.237,    4.449
0x18880407,   93.943,    4.472
0x18880500,   98.146,    2.642
0x18880501,  107.049,    2.622
0x18880502,  100.297,    2.834
0x18880503,  100.957,    2.692
0x18880504,   92.738,    2.347
0x18880505,   92.439,    2.290
0x18880506,   95.574,    1.979
0x18880507,   89.578,    2.176
0x18880600,  100.020,    2.414
0x18880601,   96.401,    2.384
0x18880602,  102.103,    2.248
0x18880603,   94.368,    2.172
0x18880604,  106.194,    2.448
0x18880605,   91.970,    2.110
0x18880606,  108.564,    2.106
0x18880607,   96.415,    1.997
0x18880700,  100.221,    2.028
0x18880701,   90.191,    1.521
0x18880702,   96.759,    1.957
0x18880703,   89.819,    1.659
0x18880704,   95.853,    1.598
0x18880705,  102.181,    1.522
0x18880706,   99.424,    1.804
0x18880707,  104.132,    1.770
0x18880800,  101.605,    2.003
0x18880801,  104.357,    1.842
0x18880802,  103.727,    1.846
0x18880803,   92.710,    1.914
0x18880804,  105.024,    1.965
0x18880805,  104.908,    1.809
0x18880806,   96.371,    1.899
0x18880807,   94.163,    1.668
0x18880900,   95.463,    3.239
0x18880901,   89.265,    3.352
0x18880902,  100.921,    3.324
0x18880903,  102.215,    2.598
0x18880904,  107.114,    2.468
0x18880905,  108.072,    2.906
0x18880906,   96.212,    3.325
0x18880907,  100.148,    3.540
0x18880a00,   90.892,    3.538
0x18880a01,  107.433,    3.524
0x18880a02,   92.292,    2.954
0x18880a03,   97.870,    4.001
0x18880a04,   97.997,    3.342
0x18880a05,   94.473,    3.060
0x18880a06,   94.784,    2.900
0x18880a07,  102.706,    3.147
0x18880a08,   93.412,    3.179
0x18880a09,   94.174,    2.751
0x18880a0a,   92.673,    2.838
0x18880a0b,   95.072,    2.517
0x18880b00,   94.971,    2.937
0x18880b01,  106.222,    1.983
0x18880b02,   95.086,    3.065
0x18880b03,  101.033,    2.177
0x18880b04,  104.735,    2.185
0x18880b05,  106.835,    2.236
0x18880b06,  105.990,    2.056
0x18880b07,  100.787,    2.593
0x18880b08,  101.532,    1.950
0x18880b09,  105.475,    1.822
0x18880b0a,   98.062,    2.230
0x18880b0b,   97.867,    2.409
