DetID,bx_shift,mean_shift
411042048,470,0.0
411042049,470,0.0
411042050,470,0.0
411042051,470,0.0
411042052,470,0.0
411042053,470,0.0
411042054,470,0.0
411042055,470,0.0
411042304,470,0.0
411042305,470,0.0
411042306,470,0.0
411042307,470,0.0
411042308,470,0.0
411042309,470,0.0
411042310,470,0.0
411042311,470,0.0
411042560,470,0.0
411042561,470,0.0
411042562,470,0.0
411042563,470,0.0
411042564,470,0.0
411042565,470,0.0
411042566,470,0.0
411042567,470,0.0
411042816,470,0.0
411042817,470,0.0
411042818,470,0.0
411042819,470,0.0
411042820,470,0.0
411042821,470,0.0
411042822,470,0.0
411042823,470,0.0
411043072,975,0.0
411043073,975,0.0
411043074,975,0.0
411043075,975,0.0
411043076,975,0.0
411043077,975,0.0
411043078,975,0.0
411043079,975,0.0
411043328,975,0.0
411043329,975,0.0
411043330,975,0.0
411043331,975,0.0
411043332,975,0.0
411043333,975,0.0
411043334,975,0.0
411043335,975,0.0
411043584,975,0.0
411043585,975,0.0
411043586,975,0.0
411043587,975,0.0
411043588,975,0.0
411043589,975,0.0
411043590,975,0.0
411043591,975,0.0
411043840,975,0.0
411043841,975,0.0
411043842,975,0.0
411043843,975,0.0
411043844,975,0.0
411043845,975,0.0
411043846,975,0.0
411043847,975,0.0
411044096,716,0.0
411044097,716,0.0
411044098,716,0.0
411044099,716,0.0
411044100,716,0.0
411044101,716,0.0
411044102,716,0.0
411044103,716,0.0
411044352,716,0.0
411044353,716,0.0
411044354,716,0.0
411044355,716,0.0
411044356,716,0.0
411044357,716,0.0
411044358,716,0.0
411044359,716,0.0
411044360,975,0.0
411044361,975,0.0
411044362,975,0.0
411044363,975,0.0
411044608,980,0.0
411044609,980,0.0
411044610,980,0.0
411044611,980,0.0
411044612,980,0.0
411044613,980,0.0
411044614,980,0.0
411044615,980,0.0
411044616,980,0.0
411044617,980,0.0
411044618,980,0.0
411044619,980,0.0
411044864,475,0.0
411044865,475,0.0
411044866,475,0.0
411044867,475,0.0
411044868,475,0.0
411044869,475,0.0
411044870,475,0.0
411044871,475,0.0
411044872,475,0.0
411044873,475,0.0
411044874,475,0.0
411044875,475,0.0
411045120,475,0.0
411045121,475,0.0
411045122,475,0.0
411045123,475,0.0
411045124,475,0.0
411045125,475,0.0
411045126,475,0.0
411045127,475,0.0
411045128,475,0.0
411045129,475,0.0
411045130,475,0.0
411045131,475,0.0
411045376,475,0.0
411045377,475,0.0
411045378,475,0.0
411045379,475,0.0
411045380,475,0.0
411045381,475,0.0
411045382,475,0.0
411045383,475,0.0
411045384,980,0.0
411045385,980,0.0
411045386,980,0.0
411045387,980,0.0
411045632,980,0.0
411045633,980,0.0
411045634,980,0.0
411045635,980,0.0
411045636,980,0.0
411045637,980,0.0
411045638,980,0.0
411045639,980,0.0
411045640,980,0.0
411045641,980,0.0
411045642,980,0.0
411045643,980,0.0
411045888,720,0.0
411045889,720,0.0
411045890,720,0.0
411045891,720,0.0
411045892,720,0.0
411045893,720,0.0
411045894,720,0.0
411045895,720,0.0
411045896,720,0.0
411045897,720,0.0
411045898,720,0.0
411045899,720,0.0
411046144,720,0.0
411046145,720,0.0
411046146,720,0.0
411046147,720,0.0
411046148,720,0.0
411046149,720,0.0
411046150,720,0.0
411046151,720,0.0
411046152,720,0.0
411046153,720,0.0
411046154,720,0.0
411046155,720,0.0
411046400,720,0.0
411046401,720,0.0
411046402,720,0.0
411046403,720,0.0
411046404,720,0.0
411046405,720,0.0
411046406,720,0.0
411046407,720,0.0
411046408,720,0.0
411046409,720,0.0
411046410,720,0.0
411046411,720,0.0
411046656,720,0.0
411046657,720,0.0
411046658,720,0.0
411046659,720,0.0
411046660,720,0.0
411046661,720,0.0
411046662,720,0.0
411046663,720,0.0
411046664,720,0.0
411046665,720,0.0
411046666,720,0.0
411046667,720,0.0
411566336,470,-2.23607038123167
411566337,470,-13.489736070381234
411566338,470,-10.923753665689148
411566339,470,3.54349951124145
411566340,470,-9.066471163245357
411566341,470,5.107526881720432
411566342,470,-15.237047898338218
411566343,470,10.72825024437928
411566592,470,-16.715542521994138
411566593,470,10.190615835777123
411566594,470,-9.970674486803516
411566595,470,10.092864125122183
411566596,470,-0.219941348973613
411566597,470,27.981427174975565
411566598,470,16.81329423264907
411566599,470,4.997556207233625
411566848,470,-2.688172043010752
411566849,470,-20.136852394916914
411566850,470,-13.563049853372434
411566851,470,2.028347996089934
411566852,470,-15.029325513196476
411566853,470,29.130009775171068
411566854,470,-4.056695992179861
411566855,470,-8.16226783968719
411567104,470,32.84457478005866
411567105,470,11.070381231671554
411567106,470,23.655913978494617
411567107,470,8.577712609970675
411567108,470,16.788856304985337
411567109,470,-9.506353861192572
411567110,470,7.2091886608015585
411567111,470,-1.9305962854349945
411567360,975,10.288367546432063
411567361,975,0.0
411567362,975,-6.060606060606055
411567363,975,-2.321603128054747
411567364,975,-2.468230694037146
411567365,975,11.656891495601172
411567366,975,16.581133919843595
411567367,975,-16.935483870967744
411567616,975,0.7575757575757578
411567617,975,8.993157380254154
411567618,975,-13.09872922776148
411567619,975,8.675464320625608
411567620,975,-0.4643206256109522
411567621,975,1.7839687194525895
411567622,975,3.482404692082113
