DetID,bx_shift,mean_shift
411042048,470,0.0
411042049,470,0.0
411042050,470,0.0
411042051,470,0.0
411042052,470,0.0
411042053,470,0.0
411042054,470,0.0
411042055,470,0.0
411042304,470,0.0
411042305,470,0.0
411042306,470,0.0
411042307,470,0.0
411042308,470,0.0
411042309,470,0.0
411042310,470,0.0
411042311,470,0.0
411042560,470,0.0
411042561,470,0.0
411042562,470,0.0
411042563,470,0.0
411042564,470,0.0
411042565,470,0.0
411042566,470,0.0
411042567,470,0.0
411042816,470,0.0
411042817,470,0.0
411042818,470,0.0
411042819,470,0.0
411042820,470,0.0
411042821,470,0.0
411042822,470,0.0
411042823,470,0.0
411043072,975,0.0
411043073,975,0.0
411043074,975,0.0
411043075,975,0.0
411043076,975,0.0
411043077,975,0.0
411043078,975,0.0
411043079,975,0.0
411043328,975,0.0
411043329,975,0.0
411043330,975,0.0
411043331,975,0.0
411043332,975,0.0
411043333,975,0.0
411043334,975,0.0
411043335,975,0.0
411043584,975,0.0
411043585,975,0.0
411043586,975,0.0
411043587,975,0.0
411043588,975,0.0
411043589,975,0.0
411043590,975,0.0
411043591,975,0.0
411043840,975,0.0
411043841,975,0.0
411043842,975,0.0
411043843,975,0.0
411043844,975,0.0
411043845,975,0.0
411043846,975,0.0
411043847,975,0.0
411044096,716,0.0
411044097,716,0.0
411044098,716,0.0
411044099,716,0.0
411044100,716,0.0
411044101,716,0.0
411044102,716,0.0
411044103,716,0.0
411044352,716,0.0
411044353,716,0.0
411044354,716,0.0
411044355,716,0.0
411044356,716,0.0
411044357,716,0.0
411044358,716,0.0
411044359,716,0.0
411044360,716,0.0
411044361,716,0.0
411044362,716,0.0
411044363,716,0.0
411044608,980,0.0
411044609,980,0.0
411044610,980,0.0
411044611,980,0.0
411044612,980,0.0
411044613,980,0.0
411044614,980,0.0
411044615,980,0.0
411044616,980,0.0
411044617,980,0.0
411044618,980,0.0
411044619,980,0.0
411044864,475,0.0
411044865,475,0.0
411044866,475,0.0
411044867,475,0.0
411044868,475,0.0
411044869,475,0.0
411044870,475,0.0
411044871,475,0.0
411044872,475,0.0
411044873,475,0.0
411044874,475,0.0
411044875,475,0.0
411045120,475,0.0
411045121,475,0.0
411045122,475,0.0
411045123,475,0.0
411045124,475,0.0
411045125,475,0.0
411045126,475,0.0
411045127,475,0.0
411045128,475,0.0
411045129,475,0.0
411045130,475,0.0
411045131,475,0.0
411045376,475,0.0
411045377,475,0.0
411045378,475,0.0
411045379,475,0.0
411045380,475,0.0
411045381,475,0.0
411045382,475,0.0
411045383,475,0.0
411045384,980,0.0
411045385,980,0.0
411045386,980,0.0
411045387,980,0.0
411045632,980,0.0
411045633,980,0.0
411045634,980,0.0
411045635,980,0.0
411045636,980,0.0
411045637,980,0.0
411045638,980,0.0
411045639,980,0.0
411045640,980,0.0
411045641,980,0.0
411045642,980,0.0
411045643,980,0.0
411045888,980,0.0
411045889,980,0.0
411045890,980,0.0
411045891,980,0.0
411045892,980,0.0
411045893,980,0.0
411045894,980,0.0
411045895,980,0.0
411045896,980,0.0
411045897,980,0.0
411045898,980,0.0
411045899,980,0.0
411046144,980,0.0
411046145,980,0.0
411046146,980,0.0
411046147,980,0.0
411046148,980,0.0
411046149,980,0.0
411046150,980,0.0
411046151,980,0.0
411046152,980,0.0
411046153,980,0.0
411046154,980,0.0
411046155,980,0.0
411046400,0,0.0
411046401,0,0.0
411046402,0,0.0
411046403,0,0.0
411046404,0,0.0
411046405,0,0.0
411046406,0,0.0
411046407,0,0.0
411046408,0,0.0
411046409,0,0.0
411046410,0,0.0
411046411,0,0.0
411046656,0,0.0
411046657,0,0.0
411046658,0,0.0
411046659,0,0.0
411046660,0,0.0
411046661,0,0.0
411046662,0,0.0
411046663,0,0.0
411046664,0,0.0
411046665,0,0.0
411046666,0,0.0
411046667,0,0.0
411566336,470,-2.150537634408604
411566337,470,-12.438905180840669
411566338,470,-11.04594330400782
411566339,470,3.592375366568916
411566340,470,-8.455522971652004
411566341,470,5.009775171065495
411566342,470,-12.133431085043984
411566343,470,20.94330400782014
411566592,470,-16.617790811339198
411566593,470,12.585532746823068
411566594,470,-9.99511241446725
411566595,470,10.777126099706743
411566596,470,-0.1955034213098727
411566597,470,27.90811339198435
411566598,470,17.93743890518084
411566599,470,9.23753665689149
411566848,470,-2.565982404692079
411566849,470,-23.631476050830887
411566850,470,-13.514173998044969
411566851,470,2.126099706744867
411566852,470,-15.224828934506355
411566853,470,29.716520039100683
411566854,470,-3.910068426197462
411566855,470,-7.869012707722383
411567104,470,36.05816226783968
411567105,470,10.997067448680356
411567106,470,23.826979472140764
411567107,470,8.553274682306935
411567108,470,16.837732160312807
411567109,470,-9.628543499511244
411567110,470,7.306940371456498
411567111,470,-2.174975562072341
411567360,975,11.14369501466276
411567361,975,-0.1466275659823992
411567362,975,-5.840664711632456
411567363,975,-2.101661779081134
411567364,975,-2.24828934506354
411567365,975,11.901270772238512
411567366,975,19.403714565004883
411567367,975,-17.32649071358749
411567616,975,0.9286412512218956
411567617,975,9.13978494623656
411567618,975,-13.416422287390027
411567619,975,8.357771260997069
411567620,975,-0.7331378299120246
411567621,975,1.4907135874877788
