DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800d03,109.697,2.198
0x18800d02,99.328,2.553
0x18800d01,98.173,2.536
0x18800d00,92.214,2.069
0x18880d07,105.27,2.13
0x18880d06,95.358,1.993
0x18880d05,102.931,2.163
0x18880d04,102.316,2.086
0x18800d07,104.89,2.337
0x18800d06,97.108,2.399
0x18800d05,104.787,2.183
0x18800d04,97.888,2.532
0x18880d0b,108.896,1.972
0x18880d0a,94.782,1.773
0x18880d09,104.45,2.066
0x18880d08,106.522,2.109
0x18800d0b,93.744,2.124
0x18800d0a,90.444,2.119
0x18800d09,97.723,2.297
0x18800d08,101.907,2.312
0x18880e00,109.641,2.109
0x18880e01,102.974,2.117
0x18880e02,92.648,1.914
0x18880e03,95.406,2.152
0x18800e00,95.132,2.104
0x18800e01,99.356,2.517
0x18800e02,95.845,2.159
0x18800e03,99.332,2.187
0x18880e04,102.469,2.07
0x18880e05,103.597,2.289
0x18880e06,105.653,2.271
0x18880e07,107.138,2.294
0x18800e04,105.284,2.309
0x18800e05,91.998,2.05
0x18800e06,95.251,2.026
0x18800e07,102.325,2.264
0x18880e08,102.903,3.091
0x18880e09,90.907,2.544
0x18880e0a,94.633,2.91
0x18880e0b,91.543,3.03
0x18800e08,99.81,3.399
0x18800e09,93.042,2.975
0x18800e0a,103.829,3.454
0x18800e0b,106.545,3.303
0x18880f03,106.753,3.664
0x18880f02,104.623,3.645
0x18880f01,92.646,3.015
0x18880f00,98.143,4.992
0x18800f03,90.39,3.071
0x18800f02,94.184,3.231
0x18800f01,102.742,3.143
0x18800f00,93.505,3.265
0x18880f07,106.624,3.925
0x18880f06,104.492,3.752
0x18880f05,100.781,3.627
0x18880f04,92.127,3.085
0x18800f07,93.045,3.084
0x18800f06,93.241,3.252
0x18800f05,95.775,3.258
0x18800f04,105.578,3.567
0x18880f0b,91.275,2.763
0x18880f0a,92.161,3.174
0x18880f09,94.529,3.001
0x18880f08,99.262,3.414
0x18800f0b,104.807,3.568
0x18800f0a,93.775,3.087
0x18800f09,90.383,2.519
0x18800f08,94.426,3.379
0x18881000,90.16,18.54
0x18881001,95.807,17.197
0x18881002,92.914,17.597
0x18881003,91.974,19.166
0x18801000,93.878,18.306
0x18801001,93.754,18.457
0x18801002,97.838,17.1
0x18801003,93.09,16.946
0x18881004,92.949,17.431
0x18881005,97.411,17.769
0x18881006,92.88,18.139
0x18881007,92.906,18.031
0x18801004,93.013,17.489
0x18801005,93.729,17.256
0x18801006,93.294,18.909
0x18801007,93.874,17.352
0x18881008,93.18,18.266
0x18881009,93.671,19.008
0x1888100a,94.011,17.563
0x1888100b,93.203,18.902
0x18801008,98.63,18.082
0x18801009,91.592,19.579
0x1880100a,93.418,17.398
0x1880100b,97.464,17.698
0x18881103,93.337,19.118
0x18881102,93.389,19.251
0x18881101,92.981,17.199
0x18881100,96.615,17.399
0x18801103,89.896,19.135
0x18801102,93.382,18.961
0x18801101,91.116,19.398
0x18801100,89.015,19.213
0x18881107,,
0x18881106,,
0x18881105,101.5,1.323
0x18881104,,
0x18801107,,
0x18801106,,
0x18801105,,
0x18801104,100.75,1.392
0x1888110b,,
0x1888110a,,
0x18881109,,
0x18881108,,
0x1880110b,,
0x1880110a,,
0x18801109,,
0x18801108,,
0x18881200,,
0x18881201,,
0x18881202,,
0x18881203,,
0x18801200,100.629,1.61
0x18801201,,
0x18801202,,
0x18801203,,
0x18881204,,
0x18881205,,
0x18881206,,
0x18881207,,
0x18801204,,
0x18801205,,
0x18801206,,
0x18801207,,
0x18881208,,
0x18881209,,
0x1888120a,,
0x1888120b,,
0x18801208,,
0x18801209,,
0x1880120a,100.75,1.392
0x1880120b,,
0x18881303,,
0x18881302,,
0x18881301,,
0x18881300,,
0x18801303,,
0x18801302,,
0x18801301,,
0x18801300,,
0x18881307,,
0x18881306,,
0x18881305,,
0x18881304,,
0x18801307,94.952,5.033
0x18801306,,
0x18801305,,
0x18801304,,
0x1888130b,,
0x1888130a,,
0x18881309,,
0x18881308,,
0x1880130b,,
0x1880130a,,
0x18801309,,
0x18801308,,
