DetID,MIPMPV_ADC,MIPWIDTH_ADC,MIP_SLOPE
0x18800103,380.15048162036504,209.61968508083328,0.012250982646057508
0x18800102,401.7676777591572,219.19033558141746,0.011620370482242282
0x18800101,429.86210904093144,242.70726208217644,0.010772846716249253
0x18800100,410.8583513275873,245.95508200267693,0.011098995128587133
0x18880103,465.4438809019127,274.09749556688223,0.009841675046106686
0x18880102,464.53856280366386,267.21069170417917,0.009922124721961382
0x18880101,495.5986579078153,317.4785586201843,0.009015852018409069
0x18880100,420.92953166194144,245.33013780477694,0.010912620024265103
0x18800107,417.369791187718,290.87200697639037,0.010395695132227706
0x18800106,512.5311881801643,324.7156379172571,0.008748689190179642
0x18800105,434.5627082999154,229.73597141853753,0.010817975017955077
0x18800104,439.69626360534556,249.13035934372624,0.010522783697016423
0x18880107,450.4990487802257,269.0190499914829,0.010129358155376307
0x18880106,486.21400267286947,290.23329254137735,0.0093863230428611
0x18880105,441.70008573439134,252.76304043248138,0.010448950587772088
0x18880104,430.1651010125493,242.9114337598864,0.010764897085372715
0x18800203,448.89778431847486,258.6004949604256,0.01026388504646669
0x18800202,467.2643419430218,270.6469993136804,0.009846571584023979
0x18800201,488.3382589667713,306.3270607656355,0.009210579650457388
0x18800200,441.6958151799837,252.59995725944157,0.010450737747886891
0x18880203,454.70096687890316,262.2596254851358,0.01012973803813609
0x18880202,459.54203103299955,265.0193944413432,0.010023342803473221
0x18880201,430.8834557237843,250.8249470867355,0.010663964747860764
0x18880200,518.9606330026852,330.18293882059874,0.008628766597231757
0x18800207,631.9614816332453,438.3300372417393,0.006877974100340455
0x18800206,512.951152886366,404.8621612364183,0.008027529658868772
0x18800205,444.6006643392866,266.07845281180437,0.01025747337767788
0x18800204,453.7677828531867,263.088817886831,0.010136831611061865
0x18880207,534.4196711664952,450.3419347479703,0.007462184043502978
0x18880206,443.1324727683323,247.70492552947707,0.010475795057131676
0x18880205,413.38697539956735,242.86880193938822,0.011088054892196103
0x18880204,414.3681349923438,230.22171995289256,0.011219315590572434
0x18800303,612.2256657751471,304.77622576744096,0.007770033326470364
0x18800302,559.0550433301361,376.06749784372914,0.00786189168473787
0x18800301,675.0741869253671,347.00707771975453,0.0070039076712621684
0x18800300,702.1575974624363,356.06082703425534,0.006751544398366841
0x18880303,595.0806890834504,283.613948589573,0.008054113328730328
0x18880302,650.3869420523142,349.1554965519272,0.007204252046621816
0x18880301,513.6139462102645,296.06434281837323,0.008969194983480757
0x18880300,606.7292956324187,305.04176409864436,0.00782612353320655
0x18800307,720.7172569986243,380.7273475410177,0.006523831309402816
0x18800306,611.4569862140287,317.6949361254611,0.007716020829082153
0x18800305,657.6592280536549,354.7817883355939,0.0071169393737006885
0x18800304,663.6926918878116,339.8651384984564,0.007129332124901125
0x18880307,570.7146487605984,386.56419141303235,0.007682451195671819
0x18880306,656.5355390388444,372.925680267676,0.007042933266922364
0x18880305,624.7114259484878,320.7429206155042,0.007570297321791196
0x18880304,670.9845423054294,352.5502149233008,0.007015301332044786
0x18800400,715.1486556923393,399.07716732885706,0.006493851666461916
0x18800401,562.1270431876366,383.79522797062566,0.007777447152605492
0x18800402,665.8311938933715,362.27090966634546,0.00701614067450135
