# Source file raw/calib/pedestal_DPM0_20220416_072438.raw
# Produced 2022-06-13 18:25:57 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800d09,166.975,11.768
0x18800d0a,130.562,25.152
0x18800d0b,142.158,22.469
0x18800e00,125.603,3.459
0x18800e01,115.555,4.080
0x18800e02,166.721,5.726
0x18800e03,141.208,16.079
0x18800e04,115.820,3.815
0x18800e05,148.283,25.161
0x18800e06,154.202,21.868
0x18800e07,148.087,23.504
0x18800e08,93.777,1.803
0x18800e09,57.904,2.212
0x18800e0a,60.321,1.935
0x18800e0b,104.599,2.152
0x18800f00,98.728,2.463
0x18800f01,100.884,2.287
0x18800f02,114.073,2.383
0x18800f03,90.384,2.241
0x18800f04,78.237,1.993
0x18800f05,99.566,2.297
0x18800f06,131.944,2.279
0x18800f07,47.606,1.963
0x18800f08,99.900,2.441
0x18800f09,73.419,2.013
0x18800f0a,106.077,2.114
0x18800f0b,99.453,2.614
0x18801000,156.409,5.978
0x18801001,133.018,2.078
0x18801002,173.962,6.141
0x18801003,154.014,6.995
0x18801004,154.113,8.244
0x18801005,112.344,2.051
0x18801006,151.034,13.543
0x18801007,146.905,8.390
0x18801008,156.025,9.752
0x18801009,113.455,2.337
0x1880100a,144.220,8.092
0x1880100b,165.105,3.910
0x18801100,159.563,6.288
0x18801101,172.064,4.962
0x18801102,189.219,9.025
0x18801103,144.362,6.739
0x18801104,134.355,1.300
0x18801105,126.546,1.179
0x18801106,128.420,1.701
0x18801107,121.902,1.363
0x18801108,125.021,1.056
0x18801109,136.679,1.240
0x1880110a,125.106,1.150
0x1880110b,135.689,1.459
0x18801200,82.523,2.262
0x18801201,135.236,1.275
0x18801202,126.717,1.180
0x18801203,118.069,1.377
0x18801204,125.032,1.141
0x18801205,134.709,1.378
0x18801206,124.280,1.161
0x18801207,128.008,1.539
0x18801208,122.997,1.328
0x18801209,128.315,1.553
0x1880120a,134.535,1.206
0x1880120b,139.163,1.291
0x18801300,125.515,0.956
0x18801301,119.608,1.109
0x18801302,123.364,1.056
0x18801303,128.340,1.498
0x18801304,128.282,1.475
0x18801305,92.250,1.199
0x18801306,129.295,1.602
0x18801307,111.116,1.759
0x18801308,131.565,1.337
0x18801309,125.694,1.006
0x1880130a,119.484,1.331
0x1880130b,129.488,1.734
0x18880c00,83.880,2.171
0x18880c01,96.696,2.444
0x18880c02,63.050,2.688
0x18880c03,73.957,2.256
0x18880c04,60.846,2.991
0x18880c05,71.125,2.346
0x18880c06,95.879,2.366
0x18880c07,86.656,2.475
0x18880c08,89.103,2.551
0x18880c09,107.227,2.234
0x18880c0a,86.588,2.393
0x18880c0b,67.183,2.329
0x18880d00,93.741,2.069
0x18880d01,111.995,2.109
0x18880d02,115.531,2.462
0x18880d03,72.552,2.085
0x18880d04,127.997,2.481
0x18880d05,109.275,3.745
0x18880d06,141.490,14.280
0x18880d07,150.025,23.192
0x18880d08,146.183,26.644
0x18880d09,141.370,24.021
0x18880d0a,175.180,35.529
0x18880d0b,131.848,2.233
0x18880e00,141.528,19.370
0x18880e01,139.253,11.657
0x18880e02,104.553,4.463
0x18880e03,123.146,3.798
0x18880e04,140.761,10.851
0x18880e05,84.503,2.269
0x18880e06,119.481,3.109
0x18880e07,128.330,2.044
0x18880e08,126.652,2.130
0x18880e09,110.487,2.105
0x18880e0a,76.617,2.061
0x18880e0b,103.313,2.174
0x18880f00,62.455,4.209
0x18880f01,77.740,1.955
0x18880f02,71.167,2.265
0x18880f03,103.936,2.246
0x18880f04,100.969,2.327
0x18880f05,79.694,2.185
0x18880f06,103.396,2.410
0x18880f07,112.068,2.076
0x18880f08,86.510,2.368
0x18880f09,107.356,2.274
0x18880f0a,85.918,2.164
0x18880f0b,108.024,2.178
0x18881000,123.058,2.138
0x18881001,157.529,7.059
0x18881002,149.258,7.598
0x18881003,154.356,8.404
0x18881004,161.237,5.096
0x18881005,143.744,5.535
0x18881006,156.874,8.508
0x18881007,133.436,2.122
0x18881008,126.955,2.023
0x18881009,140.137,4.308
0x1888100a,107.179,2.137
0x1888100b,148.128,8.311
0x18881100,111.511,2.011
0x18881101,152.473,6.171
0x18881102,164.548,3.669
0x18881103,126.547,2.054
0x18881104,133.381,1.363
0x18881105,136.885,1.183
0x18881106,135.890,1.379
0x18881107,133.045,1.388
0x18881108,132.565,1.432
0x18881109,140.068,1.340
0x1888110a,143.156,1.444
0x1888110b,120.663,1.462
0x18881200,132.259,1.609
0x18881201,131.270,1.576
0x18881202,139.755,1.325
0x18881203,130.646,1.537
0x18881204,119.991,3.098
0x18881205,126.255,1.078
0x18881206,141.216,1.247
0x18881207,132.210,1.542
0x18881208,120.632,1.302
0x18881209,119.709,1.238
0x1888120a,136.825,1.240
0x1888120b,134.528,1.232
0x18881300,124.174,1.081
0x18881301,84.523,1.010
0x18881302,126.006,1.023
0x18881303,122.507,1.251
0x18881304,133.196,1.295
0x18881305,128.979,1.629
0x18881306,129.189,1.588
0x18881307,122.888,1.304
0x18881308,133.346,1.337
0x18881309,134.515,1.296
0x1888130a,136.016,1.304
0x1888130b,126.163,1.096
