DetID,m_adc_i,cut_point_tot,high_slope,high_offset,low_slope,low_power,low_offset,tot_not,channel,flagged
0x18800d0a,1720.722426,984.6666667,8.365748012,647.5557033,197.7114617,0.185124776,190.1892061,999.8338315,14,0
0x18800d09,1662.992669,1003.666667,8.183622477,661.2276901,199.920296,0.18490285,197.2532966,966.2896855,15,0
0x18800d08,1784.642704,1258.666667,8.707206061,650.6923289,8.881722311,0.509850152,593.4807434,1081.416795,16,0
0x18880e00,1767.651293,1051.0,8.635747718,661.0368334,10.67775177,0.491323941,601.3702294,1027.10207,18,0
0x18880e02,1807.167152,1268.666667,8.802762941,659.2028584,10.95774198,0.487020926,579.972953,1005.060247,20,0
0x18880e03,1631.294695,962.3333333,7.957324194,623.9785388,4.711273475,0.605717468,593.9848931,1076.511123,21,0
0x18800e00,1774.595154,1256.333333,8.655140506,647.2409661,11.29106086,0.483881316,572.8352457,1031.136833,22,0
0x18800e01,1674.857592,1238.666667,8.191095264,629.3034798,10.22633998,0.496124455,579.351767,1063.550927,23,0
0x18800e02,1829.609991,1009.0,8.938384138,667.2633879,7.974701864,0.528655062,595.7012293,971.9803076,24,0
0x18800e03,1708.842879,986.6666667,8.279333317,640.8048667,8.147055849,0.535860318,562.2832033,950.3769725,25,0
0x18880e04,1780.403813,979.0,8.710938625,637.7348832,72.80154242,0.277846326,390.7639826,1078.848209,27,0
0x18880e05,1632.107952,1022.0,7.92502499,624.5261043,7.441879084,0.542534509,597.4471355,1077.047802,28,0
0x18880e06,1811.306987,1021.666667,8.845948763,662.6401819,82.78570965,0.260922567,415.0018576,1007.362626,29,0
0x18880e07,1640.7626,969.3333333,8.027059118,629.9143766,192.3327113,0.186665124,193.0993505,1041.900274,30,0
0x18800e04,1761.733552,939.6666667,8.781711506,693.0833134,6.946004005,0.549926632,623.1176729,979.7922443,31,0
0x18800e05,1650.292842,1062.666667,8.053161635,622.8667056,9.187390165,0.511611679,592.2582897,1089.048231,32,0
0x18800e06,1730.220477,1019.666667,8.549150828,673.7982614,6.795891318,0.545190263,636.4012956,962.2661737,33,0
0x18800e07,1750.111337,979.0,8.537488462,637.8964227,69.37332309,0.287053301,383.3184643,1060.49227,34,0
0x18880e08,1797.789259,1194.666667,8.734598659,635.8417491,10.54747099,0.48539585,602.8523254,1141.613736,0,0
0x18880e09,1854.676311,1042.333333,8.994045544,644.1258483,8.097683935,0.523880224,603.1046676,1123.854151,1,0
0x18880e0a,1879.010337,1258.666667,9.176545393,653.2994226,10.00701195,0.492533471,590.2101233,1138.599525,2,0
0x18880e0b,1882.635445,984.3333333,9.116052818,645.1325814,187.9527243,0.189328419,197.2575358,1140.796185,3,0
0x18800e08,1729.650812,960.6666667,8.46611074,620.8522608,201.0806265,0.18136375,178.6437698,1184.489875,4,0
0x18800e09,1848.90805,989.0,9.036495199,652.4768958,7.819667548,0.532636405,598.7770443,1120.358833,5,0
0x18800e0a,1798.401627,1196.333333,8.769935299,645.9463379,11.30655281,0.476180694,609.2117442,1142.002595,6,0
0x18800e0b,1891.43047,1225.333333,9.189810821,670.0737767,12.54736685,0.457373918,647.3709309,1099.024541,7,0
0x18880f03,1805.487592,1261.666667,8.828204334,656.59534,10.43965,0.48675021,613.9395434,1094.047901,9,0
0x18880f02,1893.759931,1242.0,9.160117035,623.0377686,11.19057433,0.480934653,572.0930171,1202.55605,10,0
0x18880f01,1813.621455,1012.0,8.880149714,660.7019912,70.72144813,0.281316829,417.6334754,1053.813248,11,0
0x18880f00,1931.982007,1252.0,9.376429386,640.127775,12.32769475,0.469938282,567.5199646,1170.698081,12,0
0x18800f03,1866.383341,1017.666667,9.136834388,663.6966644,191.1326528,0.189735636,199.9737905,1037.993469,13,0
0x18800f02,1809.555109,956.0,8.717569427,621.6883326,7.277226275,0.545701829,567.848003,1149.085166,14,0
0x18800f01,1817.872566,1260.333333,8.848991324,650.6906797,9.012950011,0.501616265,625.3268606,1154.366832,15,0
0x18800f00,1883.03569,1257.0,9.088494389,641.3907462,10.13983885,0.491028783,587.1327569,1141.038716,16,0
0x18880f07,1799.447151,1009.333333,8.798733597,659.1633751,74.01343076,0.277628048,410.341227,1045.577202,18,0
0x18880f05,1926.291283,1083.0,9.294528578,639.2502287,8.358671531,0.511852186,612.0792128,1167.249747,20,0
