# Source file pedestal_DPM0_20220417_070207.raw
# Produced 2022-05-03 01:43:23 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800100,   69.846,    2.457
0x18800101,  119.934,    3.353
0x18800102,   66.249,    2.668
0x18800103,   71.721,    2.186
0x18800104,   77.089,    2.716
0x18800105,   68.973,    3.106
0x18800106,   82.113,    2.648
0x18800107,  133.697,    2.199
0x18800200,   97.186,    3.591
0x18800201,   62.735,    4.617
0x18800202,  117.564,    3.907
0x18800203,  104.697,    3.800
0x18800204,   44.237,    3.485
0x18800205,   51.449,    4.976
0x18800206,   31.909,    1.913
0x18800207,   93.724,    3.346
0x18800300,   35.615,    2.932
0x18800301,   58.811,    6.461
0x18800302,   68.994,    3.521
0x18800303,   39.398,    2.512
0x18800304,   43.978,    2.775
0x18800305,   75.369,    4.467
0x18800306,   17.032,    1.790
0x18800307,  103.040,    3.948
0x18800400,   50.341,    7.018
0x18800401,  112.396,    5.030
0x18800402,   55.362,    7.143
0x18800403,   68.510,    4.570
0x18800404,   55.881,    7.890
0x18800405,   63.314,    5.466
0x18800406,   54.718,    6.751
0x18800407,   63.643,    4.981
0x18800500,   47.669,    2.260
0x18800501,   36.699,    2.227
0x18800502,   51.567,    3.508
0x18800503,   66.740,    3.366
0x18800504,   39.850,    3.027
0x18800505,  108.148,    3.004
0x18800506,   87.165,    2.548
0x18800507,   94.764,    2.634
0x18800600,   72.563,    2.452
0x18800601,   98.750,    3.331
0x18800602,   82.427,    2.983
0x18800603,  133.308,    1.965
0x18800604,   95.639,    3.386
0x18800605,   73.087,    2.788
0x18800606,   72.411,    2.346
0x18800607,   45.246,    2.401
0x18800700,   71.885,    2.054
0x18800701,   66.999,    1.941
0x18800702,   53.639,    2.833
0x18800703,   81.136,    2.519
0x18800704,   63.261,    3.294
0x18800705,   52.310,    3.079
0x18800706,   78.704,    2.597
0x18800707,   71.608,    2.746
0x18800800,   92.018,    2.746
0x18800801,   33.282,    1.861
0x18800802,   66.291,    2.015
0x18800803,   51.888,    3.232
0x18800804,   44.126,    2.338
0x18800805,   54.945,    3.200
0x18800806,  100.874,    2.193
0x18800807,   48.600,    2.995
0x18800900,   71.081,    3.170
0x18800901,   44.211,    2.449
0x18800902,   82.334,    3.306
0x18800903,   51.876,    3.209
0x18800904,   70.879,    3.415
0x18800905,   58.722,    4.651
0x18800906,  118.474,    3.014
0x18800907,   95.964,    2.951
0x18800a00,   90.284,    2.637
0x18800a01,  103.483,    2.676
0x18800a02,   53.589,    3.591
0x18800a03,   80.034,    3.316
0x18800a04,   83.910,    3.295
0x18800a05,   43.711,    2.902
0x18800a06,   58.036,    3.854
0x18800a07,   47.365,    3.543
0x18800a08,   54.233,    3.137
0x18800a09,   80.260,    2.893
0x18800a0a,   52.706,    3.018
0x18800a0b,   83.550,    2.705
0x18800b00,   51.488,    3.392
0x18800b01,   46.863,    2.416
0x18800b02,   49.406,    3.170
0x18800b03,   77.424,    2.718
0x18800b04,   77.102,    3.079
0x18800b05,   22.841,    1.745
0x18800b06,   45.959,    2.379
0x18800b07,   58.669,    3.378
0x18800b08,   46.598,    2.803
0x18800b09,   57.187,    3.148
0x18800b0a,   65.127,    3.200
0x18800b0b,   33.904,    2.216
0x18880100,   64.609,    3.294
0x18880101,   88.299,    2.816
0x18880102,   87.946,    2.645
0x18880103,   54.417,    4.564
0x18880104,   85.949,    3.669
0x18880105,   58.780,    5.794
0x18880106,   35.348,    2.011
0x18880107,   94.073,    2.955
0x18880200,   58.525,    5.440
0x18880201,   61.918,    4.594
0x18880202,  124.002,    3.663
0x18880203,   76.828,    3.147
0x18880204,   76.843,    2.868
0x18880205,   81.445,    2.671
0x18880206,   69.837,    2.145
0x18880207,   73.023,    2.738
0x18880300,   71.748,    3.365
0x18880301,   85.173,    4.217
0x18880302,   40.386,    2.282
0x18880303,   55.931,    6.502
0x18880304,   46.289,    4.752
0x18880305,   70.881,    4.379
0x18880306,   29.852,    2.662
0x18880307,   61.929,    6.467
0x18880400,   85.861,    4.560
0x18880401,   71.490,    4.216
0x18880402,   56.292,    7.434
0x18880403,   60.801,    6.716
0x18880404,  116.912,    4.879
0x18880405,   67.880,    3.666
0x18880406,   88.837,    4.249
0x18880407,   22.664,    2.601
0x18880500,  149.576,    9.330
0x18880501,   71.870,    2.855
0x18880502,   64.808,    2.908
0x18880503,   62.748,    3.521
0x18880504,  153.886,   10.411
0x18880505,   71.894,    2.750
0x18880506,  100.885,    2.938
0x18880507,  106.558,    2.846
0x18880600,   78.325,    2.038
0x18880601,   72.159,    1.947
0x18880602,   68.734,    3.198
0x18880603,   77.219,    3.123
0x18880604,  140.005,    1.678
0x18880605,   72.607,    2.509
0x18880606,   79.188,    1.800
0x18880607,   95.105,    1.796
0x18880700,   26.983,    2.344
0x18880701,   93.877,    2.052
0x18880702,   43.879,    1.944
0x18880703,   80.151,    2.458
0x18880704,   89.103,    2.417
0x18880705,   73.503,    2.380
0x18880706,   30.127,    1.816
0x18880707,   28.252,    2.209
0x18880800,   89.020,    2.607
0x18880801,   76.695,    1.898
0x18880802,   86.303,    2.674
0x18880803,   35.639,    2.171
0x18880804,   63.058,    3.273
0x18880805,  105.690,    2.364
0x18880806,   85.109,    2.555
0x18880807,  107.598,    1.939
0x18880900,   62.915,    4.036
0x18880901,   33.881,    2.298
0x18880902,   40.220,    2.011
0x18880903,   64.766,    3.584
0x18880904,   87.655,    2.990
0x18880905,   71.772,    3.711
0x18880906,   74.588,    3.258
0x18880907,   80.807,    3.507
0x18880a00,   57.655,    3.947
0x18880a01,  120.778,    2.259
0x18880a02,   72.273,    2.257
0x18880a03,  114.501,    2.500
0x18880a04,   57.818,    3.769
0x18880a05,   51.001,    4.175
0x18880a06,   77.926,    3.166
0x18880a07,   71.775,    2.785
0x18880a08,   70.849,    2.339
0x18880a09,   66.072,    2.493
0x18880a0a,   38.045,    2.116
0x18880a0b,   59.672,    3.519
0x18880b00,   50.280,    3.379
0x18880b01,   48.924,    3.394
0x18880b02,   61.822,    3.441
0x18880b03,   78.781,    3.131
0x18880b04,   52.150,    3.389
0x18880b05,   37.626,    2.347
0x18880b06,   48.781,    3.054
0x18880b07,   57.055,    3.434
0x18880b08,   68.943,    3.092
0x18880b09,   49.942,    2.970
0x18880b0a,   60.535,    3.664
0x18880b0b,   25.276,    2.351
# Source file pedestal_DPM1_20220417_070147.raw
# Produced 2022-05-03 01:43:35 GMT
0x18800c00,   91.599,    2.561
0x18800c01,  143.927,    8.339
0x18800c02,   85.257,    2.700
0x18800c03,   44.558,    3.046
0x18800c04,   97.861,    2.809
0x18800c05,   85.375,    2.938
0x18800c06,   87.889,    2.736
0x18800c07,   84.347,    2.765
0x18800c08,  101.803,    2.621
0x18800c09,   78.945,    2.623
0x18800c0a,  104.915,    2.503
0x18800c0b,   55.111,    4.297
0x18800d00,   61.432,    3.653
0x18800d01,   55.100,    4.208
0x18800d02,   74.484,    2.625
0x18800d03,  143.395,    8.305
0x18800d04,  129.521,    2.355
0x18800d05,  116.639,    5.779
0x18800d06,   92.431,    5.033
0x18800d07,  100.824,    5.606
0x18800d08,  132.893,   44.543
0x18800d09,  153.033,   35.364
0x18800d0a,  133.625,    1.654
0x18800d0b,  133.409,   36.098
0x18800e00,  124.066,    5.778
0x18800e01,  113.070,    6.528
0x18800e02,  159.766,   28.156
0x18800e03,  136.041,   27.585
0x18800e04,  114.081,    6.380
0x18800e05,  134.366,   43.769
0x18800e06,  140.280,   42.787
0x18800e07,  135.831,   41.623
0x18800f03,   89.442,    2.287
0x18800f07,   46.515,    2.350
0x18800f0b,   98.338,    2.598
0x18801008,  155.246,    2.246
0x18801104,   22.879,    1.016
0x18801105,   31.276,    0.671
0x18801106,   31.745,    0.846
0x18801107,   45.314,    0.789
0x18801108,   37.298,    0.724
0x18801109,   33.181,    1.162
0x1880110a,   45.386,    0.825
0x1880110b,   38.945,    0.717
0x18801200,   40.236,    0.855
0x18801201,   45.753,    0.782
0x18801202,   23.058,    0.882
0x18801203,   23.266,    0.717
0x18801204,   41.202,    0.798
0x18801205,   48.242,    0.960
0x18801206,   49.099,    0.849
0x18801207,   33.276,    0.726
0x18880c00,   82.724,    2.504
0x18880c01,   95.640,    2.548
0x18880c02,   61.528,    3.703
0x18880c03,   72.124,    2.438
0x18880c04,   59.163,    4.432
0x18880c05,   70.088,    2.678
0x18880c06,   94.912,    2.573
0x18880c07,   85.314,    2.804
0x18880c08,   87.710,    2.894
0x18880c09,  105.497,    2.424
0x18880c0a,   85.312,    2.930
0x18880c0b,   66.257,    2.854
0x18880d00,   92.738,    2.299
0x18880d01,  110.764,    2.050
0x18880d02,  114.030,    2.426
0x18880d03,   71.017,    2.189
0x18880d04,  126.217,    4.765
0x18880d05,  106.743,    6.649
0x18880d06,  136.593,   25.439
0x18880d07,  138.232,   40.637
0x18880d08,  132.439,   44.257
0x18880d09,  132.507,   37.584
0x18880d0a,  162.078,   51.520
0x18880d0b,  130.282,    2.546
0x18880e00,  134.515,   32.197
0x18880e01,  135.512,   19.890
0x18880e02,  102.103,    7.013
0x18880e03,  120.722,    6.668
0x18880e04,  137.305,   20.643
0x18880e05,   82.110,    3.724
0x18880e06,  117.153,    5.429
0x18880e07,  126.205,    4.017
0x18880f03,  103.000,    1.732
0x18881104,   24.414,    1.186
0x18881105,   12.406,    0.872
0x18881106,   42.573,    0.756
0x18881107,   57.873,    0.828
0x18881108,   25.270,    1.148
0x18881109,   45.680,    0.835
0x1888110a,   35.752,    1.123
0x1888110b,   43.377,    0.816
0x18881200,   31.704,    0.814
0x18881201,   43.067,    0.734
0x18881202,   30.204,    0.941
